"Company.Name","Subindustry","Address","Phone","Postcode","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA","Rating","Review","Price","Yelp.Category","Hotel.Rating(~100)","Hotel.Price(~100)","Hotel.Review(~100)","Hotel.Count(~100)","Hotel.Rating(~200)","Hotel.Price(~200)","Hotel.Review(~200)","Hotel.Count(~200)","Hotel.Rating(200~400)","Hotel.Price(200~400)","Hotel.Review(200~400)","Hotel.Count(200~400)","Hotel.Rating(400~600)","Hotel.Price(400~600)","Hotel.Review(400~600)","Hotel.Count(400~600)","Hotel.Rating(600~800)","Hotel.Price(600~800)","Hotel.Review(600~800)","Hotel.Count(600~800)","Hotel.Rating(800~)","Hotel.Price(800~)","Hotel.Review(800~)","Hotel.Count(800~)"
"Europa Cafe","Deli","3 Times Sq","2122390160",10036,40.756376,-73.986713,5,3,119,1024686,1010140033,"Midtown-Midtown South                                                      ",1.5,23,1,"sandwiches",NA,NA,NA,0,3.5,2.5,201.5,6,9.16666666666667,6.5,593.666666666667,18,4.91666666666667,3.33333333333333,188.833333333333,9,3.58333333333333,3,220.166666666667,7,0.416666666666667,0.5,106.166666666667,1
"Ranch 1","Fast Food","832 Eighth Ave","2129561111",10019,40.762444,-73.985983,5,3,131,1024809,1010220002,"Midtown-Midtown South                                                      ",NA,NA,NA,NA,4,2,162,1,3.4,2,161.8,5,9.14,7.6,696,15,6.16,4.6,460.8,11,7.2,4.8,253.8,10,0,0,0,0
"Sosa Borella","Argentinian","832 Eighth Ave","2122628282",10019,40.762444,-73.985983,5,3,131,1024809,1010220002,"Midtown-Midtown South                                                      ",3.5,122,2,"italian",4,2,162,1,3.4,2,161.8,5,9.14,7.6,696,15,6.16,4.6,460.8,11,7.2,4.8,253.8,10,0,0,0,0
"Mi Nidito (Cantina Mexicana)","Mexican","852 Eighth Ave","2122650022",10019,40.763128,-73.985481,5,3,131,1081646,1010230002,"Midtown-Midtown South                                                      ",3,155,2,"mexican",4,2,162,1,3.33333333333333,2.33333333333333,147.666666666667,3,11.5,9.33333333333333,901.666666666667,12,10.8333333333333,8.33333333333333,854,11,16,10.6666666666667,714.666666666667,14,1.5,1,2.66666666666667,1
"Starbucks","Coffee","871-879 Eighth Ave, Suite# 871","2122467699",10019,40.763644,-73.985134,4,3,133,1025257,1010437501,"Clinton                                                                    ",2,42,2,"coffee",4,2,162,1,3.33333333333333,2.66666666666667,186.333333333333,3,9,7,736.666666666667,9,11.7333333333333,9.33333333333333,800,11,12.4333333333333,8.33333333333333,714.333333333333,13,6.66666666666667,4.33333333333333,183.333333333333,5
"China Gourmet","Chinese","877 Eighth Ave","2122468181",10019,40.763789,-73.985026,4,3,133,1025257,1010437501,"Clinton                                                                    ",2.5,181,1,"chinese",4,2,162,1,3.33333333333333,2.66666666666667,186.333333333333,3,9,7,736.666666666667,9,10.5666666666667,8.33333333333333,550,10,13.6,9.33333333333333,964.333333333333,14,6.66666666666667,4.33333333333333,183.333333333333,5
"Rino Trattoria","Italian","877 Eighth Ave","2123070666",10019,40.763789,-73.985026,4,3,133,1025257,1010437501,"Clinton                                                                    ",2.5,115,2,"italian",4,2,162,1,3.33333333333333,2.66666666666667,186.333333333333,3,9,7,736.666666666667,9,10.5666666666667,8.33333333333333,550,10,13.6,9.33333333333333,964.333333333333,14,6.66666666666667,4.33333333333333,183.333333333333,5
"Laxmi Corp. Newsstand","Deli","879 Eighth Ave",NA,10019,40.763839,-73.98499,4,3,133,1025257,1010437501,"Clinton                                                                    ",NA,NA,NA,NA,4,2,162,1,3.33333333333333,2.66666666666667,186.333333333333,3,9,7,736.666666666667,9,10.5666666666667,8.33333333333333,550,10,13.6,9.33333333333333,964.333333333333,14,6.66666666666667,4.33333333333333,183.333333333333,5
"Caffe Cielo","Italian","881 Eighth Ave","2122469555",10019,40.763885,-73.984954,4,3,133,1025323,1010437502,"Clinton                                                                    ",3,20,2,"italian",NA,NA,NA,0,3.33333333333333,2.66666666666667,186.333333333333,3,9,7,736.666666666667,9,10.5666666666667,8.33333333333333,550,10,12.6,8.33333333333333,848.666666666667,13,7.66666666666667,5.33333333333333,299,6
"Cosmic Diner","Diner","888 Eighth Ave","2123335888",10019,40.764072,-73.984791,5,3,131,1024825,1010240001,"Midtown-Midtown South                                                      ",2.5,303,2,"diners",NA,NA,NA,0,3.33333333333333,2.66666666666667,186.333333333333,3,8.16666666666667,6.33333333333333,707.333333333333,8,10.4,8,561.666666666667,10,13.6,9.33333333333333,866.333333333333,14,7.66666666666667,5.33333333333333,299,6
