"CompanyName","Subindustry","Address","Phone","Latitude","Longitude","Rating","Review","Price","YelpCategory","ID","Category2ndLevel"
"Europa Cafe","Deli","3 Times Sq, New York, NY 10036","2122390160",40.756376,-73.986713,1.5,23,1,"sandwiches","food_1","Deli"
"Ranch 1","Fast Food","832 Eighth Ave, New York, NY 10019","2129561111",40.762444,-73.985983,NA,NA,NA,NA,"food_2","Deli"
"Sosa Borella","Argentinian","832 Eighth Ave, New York, NY 10019","2122628282",40.762444,-73.985983,3.5,122,2,"italian","food_3","North American"
"Mi Nidito (Cantina Mexicana)","Mexican","852 Eighth Ave, New York, NY 10019","2122650022",40.763128,-73.985481,3,155,2,"mexican","food_4","South American"
"Starbucks","Coffee","871-879 Eighth Ave, Suite# 871, New York, NY 10019","2122467699",40.763644,-73.985134,2,42,2,"coffee","food_5","Coffee"
"China Gourmet","Chinese","877 Eighth Ave, New York, NY 10019","2122468181",40.763789,-73.985026,2.5,181,1,"chinese","food_6","Asian"
"Rino Trattoria","Italian","877 Eighth Ave, New York, NY 10019","2123070666",40.763789,-73.985026,2.5,115,2,"italian","food_7","Europe"
"Laxmi Corp. Newsstand","Deli","879 Eighth Ave, New York, NY 10019",NA,40.763839,-73.98499,NA,NA,NA,NA,"food_8","Deli"
"Caffe Cielo","Italian","881 Eighth Ave, New York, NY 10019","2122469555",40.763885,-73.984954,3,20,2,"italian","food_9","Europe"
"Cosmic Diner","Diner","888 Eighth Ave, New York, NY 10019","2123335888",40.764072,-73.984791,2.5,303,2,"diners","food_10","Deli"
"Brasserie Athena","French","300 W 46th St, New York, NY 10036","2123991100",40.759963,-73.988355,2.5,222,2,"french","food_11","Europe"
"The House of Brews","American","302 W 51st St, New York, NY 10019",NA,40.763037,-73.985958,4,387,2,"sportsbars","food_12","North American"
"Seasons","American","888 Eighth Ave, New York, NY 10019","2125862257",40.764072,-73.984791,4,27,2,"florists","food_13","North American"
"World of Nuts and Ice Cream","Dessert","888 Eighth Ave, New York, NY 10019","2122450398",40.764072,-73.984791,1.5,3,1,NA,"food_14","Deli"
"Green Emporium","Deli","791 Eighth Ave, New York, NY 10019","2124591924",40.761133,-73.986958,3,18,2,"delis","food_15","Deli"
