"Company.Name","Address","Phone","Postcode","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA","Rating","Review","Price","Yelp.Category","Food.Rating(~100)","Food.Price(~100)","Food.Review(~100)","Food.Count(~100)","Food.Rating(~200)","Food.Price(~200)","Food.Review(~200)","Food.Count(~200)","Food.Rating(200~400)","Food.Price(200~400)","Food.Review(200~400)","Food.Count(200~400)","Food.Rating(400~600)","Food.Price(400~600)","Food.Review(400~600)","Food.Count(400~600)","Food.Rating(600~800)","Food.Price(600~800)","Food.Review(600~800)","Food.Count(600~800)","Food.Rating(800~)","Food.Price(800~)","Food.Review(800~)","Food.Count(800~)"
"Paramount Hotel","235 W 46th St","2127645500",10036,40.759132,-73.986348,5,3,125,1024737,1010180006,"Midtown-Midtown South                                                      ",2.2,272,2,"hotels",2.43157894736842,1.47368421052632,273.684210526316,19,2.69130434782609,1.66666666666667,308.840579710145,69,7.48840579710145,4.77536231884058,658.942028985507,196,2.57971014492754,1.56521739130435,173.95652173913,72,0,0,0,4,0.101449275362319,0.072463768115942,10.7536231884058,6
"Carter Hotel","250 W 43rd St","2129446000",10036,40.757309,-73.987901,5,3,119,1085096,1010140055,"Midtown-Midtown South                                                      ",2,114,1,"hotels",1.75925925925926,1.14814814814815,190.222222222222,27,2.17692307692308,1.36923076923077,266.323076923077,65,6.37538461538461,4.00769230769231,579.661538461538,143,2.85384615384615,1.8,199,77,2.13846153846154,1.32307692307692,167.015384615385,56,0.107692307692308,0.0769230769230769,11.4153846153846,6
"Millennium Hotel","145 W 44th St","2127684400",10036,40.756667,-73.984396,5,4,119,1085016,1009970010,"Midtown-Midtown South                                                      ",3,347,3,"hotels",2.56896551724138,1.51724137931034,305.758620689655,29,2.71538461538462,1.67692307692308,364.430769230769,65,3.36769230769231,2.06923076923077,245.046153846154,91,5.05384615384615,3.2,377.476923076923,121,2.23846153846154,1.44615384615385,219.615384615385,60,0.276923076923077,0.184615384615385,16.8461538461538,10
"Best Western President Hotel","234 W 48th St","2122468800",10036,40.760454,-73.985655,5,3,125,1024764,1010190055,"Midtown-Midtown South                                                      ",2.5,88,2,"hotels",2.23529411764706,1.38235294117647,171.911764705882,34,2.67578947368421,1.62105263157895,205.726315789474,95,4.64947368421053,3.00526315789474,452.957894736842,160,1.54736842105263,0.947368421052632,143.536842105263,69,0.394736842105263,0.242105263157895,27.0421052631579,17,0.0736842105263158,0.0526315789473684,7.81052631578947,6
"Novotel","226 W 52nd St","2123150100",10019,40.762897,-73.983683,5,3,131,1024817,1010230018,"Midtown-Midtown South                                                      ",3.5,161,3,"hotels",2.45,1.35,168.95,20,2.39230769230769,1.46153846153846,185.830769230769,65,3.21538461538462,1.96923076923077,220.261538461538,78,3.98307692307692,2.68461538461538,365.046153846154,92,2.67692307692308,1.6,341.8,66,1.38461538461538,0.861538461538462,110.476923076923,46
"Dream Hotel","1674 Broadway","2122472000",10019,40.762861,-73.983109,5,4,131,1024831,1010240131,"Midtown-Midtown South                                                      ",2.5,236,3,"hotels",2.1304347826087,1.26086956521739,193.304347826087,23,2.421875,1.5,212.234375,64,2.8203125,1.71875,162.5,70,3.8578125,2.5703125,341.109375,86,3.28125,2,413.3125,78,1.484375,0.921875,113.375,49
"W Hotel","1567 Broadway","2129307400",10036,40.759247,-73.985168,5,3,125,1024742,1010187501,"Midtown-Midtown South                                                      ",3.5,423,3,"hotels",2.30952380952381,1.38095238095238,183.666666666667,21,2.59135802469136,1.68518518518519,229.395061728395,81,5.90123456790123,3.60493827160494,531.716049382716,171,2.37654320987654,1.53086419753086,211.481481481481,85,0,0,0,4,0.0864197530864197,0.0617283950617284,9.16049382716049,6
"Doubletree Guest Suites","1568 Broadway","2127191600",10036,40.759055,-73.98471,5,4,125,1000000,1009990061,"Midtown-Midtown South                                                      ",3.5,247,3,"hotels",1.98125,1.40625,116.3125,16,2.70963855421687,1.71686746987952,247.650602409639,83,5.06024096385542,3.08433734939759,431.807228915663,155,2.71686746987952,1.7710843373494,251.530120481928,96,0.120481927710843,0.0843373493975904,18.1686746987952,7,0.0843373493975904,0.0602409638554217,8.93975903614458,6
"Stay Hotel","157 W 47th St","2127683700",10036,40.758678,-73.983342,5,4,125,1022676,1010000007,"Midtown-Midtown South                                                      ",3,53,3,"hotels",2.48695652173913,1.5,192.608695652174,23,2.6203125,1.6640625,184.796875,64,5.1515625,3.171875,570.625,123,5.703125,3.609375,446.75,144,0.28125,0.1875,28.765625,10,0.109375,0.078125,11.59375,6
"Hotel 41 At Times Square","206 W 41st St","2127038600",10036,40.755597,-73.987999,5,3,113,1024650,1010120037,"Midtown-Midtown South                                                      ",4.5,8,3,"hotels",1.09090909090909,0.636363636363636,60.0909090909091,11,1.8953488372093,1.11627906976744,131.976744186047,43,4.23255813953488,2.72093023255814,560.813953488372,68,7.38139534883721,4.73255813953488,637.046511627907,113,4.13953488372093,2.51162790697674,293.186046511628,71,2.98837209302326,1.88372093023256,226.325581395349,52
