"CompanyName","Address","Phone","Latitude","Longitude","Rating","Review","Price","YelpCategory","ID","top5cat","top3restaurant"
"Paramount Hotel","235 W 46th St, New York, NY 10036","2127645500",40.759132,-73.986348,2.2,272,2,"hotels","hotel_1","Italian:4|American:4|Bar / Lounge:3|Deli:2|Pizza:1","food_259|food_278|food_275"
"Carter Hotel","250 W 43rd St, New York, NY 10036","2129446000",40.757309,-73.987901,2,114,1,"hotels","hotel_2","American:6|Dessert:3|Deli:3|Fast Food:2|Steakhouse:1","food_27|food_33|food_273"
"Millennium Hotel","145 W 44th St, New York, NY 10036","2127684400",40.756667,-73.984396,3,347,3,"hotels","hotel_3","American:5|Italian:4|Bar / Lounge:4|French:2|Deli:2","food_51|food_196|food_43"
"Best Western President Hotel","234 W 48th St, New York, NY 10036","2122468800",40.760454,-73.985655,2.5,88,2,"hotels","hotel_4","Italian:7|American:5|Deli:2|Coffee:2|Catering:2","food_278|food_302|food_270"
"Novotel","226 W 52nd St, New York, NY 10019","2123150100",40.762897,-73.983683,3.5,161,3,"hotels","hotel_5","Italian:3|Deli:3|Russian:2|Thai:1|Steakhouse:1","food_24|food_277|food_102|food_140|food_175"
"Dream Hotel","1674 Broadway, New York, NY 10019","2122472000",40.762861,-73.983109,2.5,236,3,"hotels","hotel_6","Deli:5|Italian:3|American:3|Steakhouse:1|Russian:1","food_277|food_17|food_18"
"W Hotel","1567 Broadway, New York, NY 10036","2129307400",40.759247,-73.985168,3.5,423,3,"hotels","hotel_7","American:4|Italian:3|Pizza:2|Deli:2|Bar / Lounge:2","food_259|food_278|food_105"
"Doubletree Guest Suites","1568 Broadway, New York, NY 10036","2127191600",40.759055,-73.98471,3.5,247,3,"hotels","hotel_8","American:3|Deli:2|Steakhouse:1|Pizza:1|Italian:1","food_144|food_105|food_229"
"Stay Hotel","157 W 47th St, New York, NY 10036","2127683700",40.758678,-73.983342,3,53,3,"hotels","hotel_9","American:5|Deli:3|Cuban:2|Bar / Lounge:2|Turkish:1","food_160|food_210|food_47"
"Hotel 41 At Times Square","206 W 41st St, New York, NY 10036","2127038600",40.755597,-73.987999,4.5,8,3,"hotels","hotel_10","Deli:2|Seafood:1|Pizza:1|Italian:1|Fast Food:1","food_130|food_161|food_86"
"Time Hotel, The","224 W 49th St, New York, NY 10019","8778463692",40.761014,-73.985052,3,186,2,"hotels","hotel_11","Italian:4|Coffee:3|American:3|Steakhouse:2|Pizza:2","food_35|food_302|food_147"
"Hilton Times Square","234 W 42nd St, New York, NY 10036","2126422510",40.756747,-73.988659,3.5,242,3,"hotels","hotel_12","Deli:5|American:4|Fast Food:2|Dessert:2|Steakhouse:1","food_27|food_33|food_303"
"The Westin New York at Times Square","270 W 43rd St, New York, NY 10036","2128681900ext245",40.757482,-73.988309,3.5,433,3,"hotels","hotel_13","American:6|Deli:5|Dessert:3|Steakhouse:1|Pizza:1","food_27|food_33|food_303"
"Crowne Plaza Times Square","1605 Broadway, New York, NY 10019","2129774000",40.760537,-73.984644,3,273,3,"hotels","hotel_14","American:7|Deli:5|Pizza:3|Italian:3|Japanese:2","food_252|food_101|food_302"
"Renaissance Times Square","714 Seventh Ave, New York, NY 10036","2122615100",40.759581,-73.984366,4,143,3,"hotels","hotel_15","American:5|Deli:3|Pizza:2|Coffee:2|Steakhouse:1","food_282|food_229|food_245"
"New York Inn","765 Eighth Ave, New York, NY 10036","8884651140",40.76029,-73.987572,1.5,18,2,"hotels","hotel_16","Steakhouse:2|Pizza:2|American:2|Italian:1|Indian:1","food_238|food_83|food_231"
"Casablanca Hotel","147 W 43rd St, New York, NY 10036","2128691212",40.756022,-73.984808,4.5,65,2,"hotels","hotel_17","American:4|Italian:3|French:2|Catering:2|Bar / Lounge:2","food_51|food_65|food_43"
"The French Quarters Guest Apartments","346 W 46th St, New York, NY 10036",NA,40.760359,-73.989286,5,56,2,"hotels","hotel_18","Italian:8|American:6|Steakhouse:2|Spanish:2|Japanese:2","food_93|food_98|food_111"
"Hotel St. James","109 W 45th St, New York, NY 10036","2122213600",40.757026,-73.983291,3,64,2,"hotels","hotel_19","Bar / Lounge:5|American:4|Italian:2|French:2|Catering:2","food_196|food_210|food_205"
"Big Apple Hostel","119 W 45th St, New York, NY 10036","2123022603",40.757114,-73.983494,3.5,12,1,"hostels","hotel_20","Bar / Lounge:6|American:5|Italian:3|French:3|Deli:2","food_160|food_196|food_43"
"Hotel Mela","120 W 44th St, New York, NY 10036","2127107000",40.756461,-73.983952,3.5,213,2,"hotels","hotel_21","American:6|Bar / Lounge:4|Italian:3|French:2|Deli:2","food_51|food_196|food_43"
"AKA","123 W 44th St, New York, NY 10036","2126455700",40.756491,-73.983977,4,22,3,"hotels","hotel_22","American:6|Bar / Lounge:4|Italian:3|French:2|Deli:2","food_51|food_196|food_43"
"Grace Hotel","125 W 45th St, New York, NY 10036","2123542323",40.757163,-73.983613,3,173,2,"hotels","hotel_23","Bar / Lounge:6|American:6|Italian:3|French:3|Deli:3","food_160|food_196|food_43"
"Comfort Inn Midtown","129 W 46th St, New York, NY 10036","2122212600",40.757811,-73.98323,3.5,64,2,"hotels","hotel_24","American:7|Deli:4|Bar / Lounge:4|Cuban:2|Catering:2","food_160|food_196|food_210"
"The Night Hotel","132 W 45th St, New York, NY 10036",NA,40.757218,-73.983786,3.5,123,3,"hotels","hotel_25","Bar / Lounge:6|American:6|Deli:4|Italian:3|French:3","food_160|food_196|food_43"
"Muse Hotel, The","130 W 46th St, New York, NY 10036","2124852701",40.757814,-73.98328,4,208,3,"hotels","hotel_26","American:7|Deli:4|Bar / Lounge:4|Cuban:2|Catering:2","food_160|food_196|food_210"
"Portland Square Hotel","132 W 47th St, New York, NY 10036","2123820600",40.758461,-73.982869,2,9,2,"hotels","hotel_27","American:5|Deli:3|Cuban:2|Bar / Lounge:2|Turkish:1","food_160|food_210|food_47"
