"CompanyName","ID"
"Europa Cafe","food_1"
"Ranch 1","food_2"
"Sosa Borella","food_3"
"Mi Nidito (Cantina Mexicana)","food_4"
"Starbucks","food_5"
"China Gourmet","food_6"
"Rino Trattoria","food_7"
"Laxmi Corp. Newsstand","food_8"
"Caffe Cielo","food_9"
"Cosmic Diner","food_10"
"Brasserie Athena","food_11"
"The House of Brews","food_12"
"Seasons","food_13"
"World of Nuts and Ice Cream","food_14"
"Green Emporium","food_15"
"Rosie O'Grady's Saloon","food_16"
"810 Deli, Inc","food_17"
"Deli / Caf̩","food_18"
"Ichi Masa Japanese Sushi","food_19"
"Starbucks","food_20"
"Starbucks","food_21"
"The Library @ Paramount Hotel","food_22"
"46 Bar (Paramount Hotel)","food_23"
"Victor's Cafe","food_24"
"Auntie Anne's","food_25"
"B.B. King Blues Club & Grill","food_26"
"Cold Stone Creamery/ Tim Horton's","food_27"
"Dallas BBQ","food_28"
"Starbucks","food_29"
"Pongsri Thai Restaurant","food_30"
"Smokehouse","food_31"
"Lucky Star Cafe","food_32"
"Shula's Steakhouse","food_33"
"Scarlatto","food_34"
"Toloache","food_35"
"Bluechili","food_36"
"Pergola des Artistes","food_37"
"Trattoria Trecolori","food_38"
"Russian Samovar Restaurant","food_39"
"John's Pizzeria","food_40"
"Just Pies Inc","food_41"
"Sunrise Deli","food_42"
"Restaurant Charlotte @ Millennium Broadway Hotel","food_43"
"O'Lunney's Times Square Pub","food_44"
"Vacant (Juan Valdez Coffee)","food_45"
"Abondanza","food_46"
"Dervish Turkish Restaurant","food_47"
"Godiva Chocolatier, Inc.","food_48"
"Ranch 1","food_49"
"Scotts Food Court","food_50"
"Tony's Di Napoli","food_51"
"Bombay Masala Indian Restaurant","food_52"
"Vacant (former Caf̩ Groppi)","food_53"
"Ruth's Chris Steak House","food_54"
"Rosie O'Grady's Steakhouse","food_55"
"Le Marais","food_56"
"Langan's Bar & Restaurant","food_57"
"Y & H Grocery","food_58"
"Bella Napoli","food_59"
"Osteria Al Doge","food_60"
"St. Andrews Restaurant and Bar","food_61"
"Pasta Lovers Trattoria","food_62"
"John's Shanghai","food_63"
"Starbucks","food_64"
"Virgils Real Barbecue","food_65"
"Iroha","food_66"
"Sapporo","food_67"
"Europa Cafe","food_68"
"Bar Americain","food_69"
"Ruby's Diner","food_70"
"Virtigo Cafe Llc","food_71"
"Aoki","food_72"
"Saigon 48","food_73"
"Inakaya","food_74"
"Schnipper's Quality Kitchen","food_75"
"McDonald's","food_76"
"Starbucks","food_77"
"Sardi's Restaurant","food_78"
"Dean & Deluca","food_79"
"Library Bar","food_80"
"La Rivista Ristorante","food_81"
"Broadway Joe Steakhouse","food_82"
"Bistecca Fiorentina","food_83"
"Gourmet New York","food_84"
"Port Gourmet Deli","food_85"
"McDonald's","food_86"
"McDonald's","food_87"
"Robert Emmett's Bar & Restaurant","food_88"
"1657 Broadway Deli, Ltd.","food_89"
"Hard Rock Cafe","food_90"
"Planet Hollywood","food_91"
"B. Smith's Restaurant Row","food_92"
"Orso","food_93"
"Joe Allen","food_94"
"O'Flaherty's Ale House & Restaurant","food_95"
"Sangria 46","food_96"
"Le Rivage","food_97"
"Da Rosina Ristorante Italiano","food_98"
"EZ Deil and NY Nail Land","food_99"
"Dunkin' Donuts","food_100"
"Famous Famiglia Pizzeria","food_101"
"Italia Mia Pizza","food_102"
"Club House Caf̩","food_103"
"Restaurant","food_104"
"TGI Friday's","food_105"
"Meson Sevilla Ristorante","food_106"
"Danny's Grand Sea Palace","food_107"
"Sushi of Gari","food_108"
"Swing 46 Jazz and Supper Club","food_109"
"Bourbon Street Bar & Grille","food_110"
"Ocha Sushi","food_111"
"Becco","food_112"
"Capri Ristorante - CLOSED","food_113"
"Paramount Cafe","food_114"
"Viva Pancho","food_115"
"Lattanzi Restaurant","food_116"
"Aramark Services, Inc.","food_117"
"City Chow","food_118"
"Cosi","food_119"
"Mars 2112","food_120"
"Bangkok House","food_121"
"The House of Brews","food_122"
"Tramonti","food_123"
"Firebird Restaurant","food_124"
"Joshua Tree - CLOSED","food_125"
"McDonald's","food_126"
"Ritz Bar & Lounge","food_127"
"Deacon Brodie's Tavern","food_128"
"Pomaire","food_129"
"Red Lobster","food_130"
"Pig 'N' Whistle","food_131"
"Roxy Deli","food_132"
"Blue Fin","food_133"
"The Whiskey","food_134"
"Aspen Social Club","food_135"
"Times Deli Caf̩","food_136"
"Starbucks","food_137"
"vacant (former starbucks)","food_138"
"Spotlight Times Square","food_139"
"San Leone","food_140"
"Ellen's Stardust Diner","food_141"
"New York Bagel Company","food_142"
"Crumbs","food_143"
"Olive Garden Italian Restaurant","food_144"
"Playwright Bar And Restaurant","food_145"
"Dean & Deluca","food_146"
"Subway","food_147"
