"CompanyName","ID"
"Paramount Hotel","hotel_1"
"Carter Hotel","hotel_2"
"Millennium Hotel","hotel_3"
"Best Western President Hotel","hotel_4"
"Novotel","hotel_5"
"Dream Hotel","hotel_6"
"W Hotel","hotel_7"
"Doubletree Guest Suites","hotel_8"
"Stay Hotel","hotel_9"
"Hotel 41 At Times Square","hotel_10"
"Time Hotel, The","hotel_11"
"Hilton Times Square","hotel_12"
"The Westin New York at Times Square","hotel_13"
"Crowne Plaza Times Square","hotel_14"
"Renaissance Times Square","hotel_15"
"New York Inn","hotel_16"
"Casablanca Hotel","hotel_17"
"The French Quarters Guest Apartments","hotel_18"
"Hotel St. James","hotel_19"
"Big Apple Hostel","hotel_20"
"Hotel Mela","hotel_21"
"AKA","hotel_22"
"Grace Hotel","hotel_23"
"Comfort Inn Midtown","hotel_24"
"The Night Hotel","hotel_25"
"Muse Hotel, The","hotel_26"
"Portland Square Hotel","hotel_27"
"Flatotel International","hotel_28"
"Econo Lodge","hotel_29"
"Hilton Garden Inn","hotel_30"
"Milford Plaza Hotel & Restaurant","hotel_31"
"InterContinental Hotel","hotel_32"
"Mayfair Hotel","hotel_33"
"The Michaelangelo Hotel","hotel_34"
"Remington Hotel Co","hotel_35"
"Amsterdam Court Hotel","hotel_36"
"Sheraton Manhattan at Times Square","hotel_37"
"Hampton Inn","hotel_38"
"Sheraton New York Hotel and Towers","hotel_39"
"Hotel Edison","hotel_40"
"Marriott Marquis Hotel","hotel_41"
