"hotel_ID","top3restaurant"
"hotel_1","food_259|food_278|food_275"
"hotel_10","food_130|food_161|food_86"
"hotel_11","food_35|food_302|food_147"
"hotel_12","food_27|food_33|food_303"
"hotel_13","food_27|food_33|food_303"
"hotel_14","food_252|food_101|food_302"
"hotel_15","food_282|food_229|food_245"
"hotel_16","food_238|food_83|food_231"
"hotel_17","food_51|food_65|food_43"
"hotel_18","food_93|food_98|food_111"
"hotel_19","food_196|food_210|food_205"
"hotel_2","food_27|food_33|food_273"
"hotel_20","food_160|food_196|food_43"
"hotel_21","food_51|food_196|food_43"
"hotel_22","food_51|food_196|food_43"
"hotel_23","food_160|food_196|food_43"
"hotel_24","food_160|food_196|food_210"
"hotel_25","food_160|food_196|food_43"
"hotel_26","food_160|food_196|food_210"
"hotel_27","food_160|food_210|food_47"
"hotel_28","food_69|food_260|food_319"
"hotel_29","food_238|food_83|food_231"
"hotel_3","food_51|food_196|food_43"
"hotel_30","food_242|food_268|food_280"
"hotel_31","food_323|food_273|food_235"
"hotel_32","food_323|food_84|food_85"
"hotel_33","food_35|food_302|food_147"
"hotel_34","food_69|food_225|food_319"
"hotel_35","food_160|food_196|food_210"
"hotel_36","food_35|food_141|food_147"
"hotel_37","food_17|food_18|food_319"
"hotel_38","food_4|food_3|food_7"
"hotel_39","food_69|food_17|food_18"
"hotel_4","food_278|food_302|food_270"
"hotel_40","food_259|food_278|food_275"
"hotel_41","food_177|food_105|food_288"
"hotel_5","food_24|food_277|food_102|food_140|food_175"
"hotel_6","food_277|food_17|food_18"
"hotel_7","food_259|food_278|food_105"
"hotel_8","food_144|food_105|food_229"
"hotel_9","food_160|food_210|food_47"
